
f(x) =x * log(x/3) - x
Xi = 1.5
Xf = 20.2
errto = 1e-05
imax = 25


Numero de
Iteracion            Xi              Xf            Raiz               Error          Tolerancia          f(Raiz)

   1               1.5              20.2  | 3.7764618210236                   100     1e-05        -2.9072137529597
   2   3.7764618210236              20.2  | 6.0254801585265       37.325130584329     1e-05        -1.8234013898153
   3   6.0254801585265              20.2  | 7.3083926309926       17.553962098666     1e-05       -0.80091889487625
   4   7.3083926309926              20.2  | 7.8483044013777        6.879342884437     1e-05        -0.3007060567442
   5   7.8483044013777              20.2  | 8.0477419080495       2.4781797049462     1e-05        -0.1063971428219
   6   8.0477419080495              20.2  | 8.1179003691107      0.86424392849354     1e-05      -0.036861300603347
   7   8.1179003691107              20.2  | 8.1421579741286       0.2979259932694     1e-05      -0.012677636353331
   8   8.1421579741286              20.2  | 8.1504950771782      0.10228952929368     1e-05     -0.0043492475749982
   9   8.1504950771782              20.2  | 8.1533545629109     0.035071279075004     1e-05     -0.0014907861677855
  10   8.1533545629109              20.2  | 8.1543346255296     0.012018915873994     1e-05    -0.00051084384575972
  11   8.1543346255296              20.2  |  8.154670451693    0.0041182064361024     1e-05    -0.00017503180564837
  12    8.154670451693              20.2  | 8.1547855156186    0.0014109987978535     1e-05    -5.9969538005689e-05
  13   8.1547855156186              20.2  | 8.1548249387843   0.00048343362343829     1e-05    -2.0546566942059e-05
  14   8.1548249387843              20.2  | 8.1548384458052   0.00016563198660452     1e-05    -7.0395688638314e-06
  15   8.1548384458052              20.2  | 8.1548430735159   5.6748004149785e-05     1e-05    -2.4118608603629e-06
  16   8.1548430735159              20.2  | 8.1548446590381   1.9442702827202e-05     1e-05    -8.2633896170137e-07
  17   8.1548446590381              20.2  | 8.1548452022613   6.6613548751245e-06     1e-05    -2.8311581878881e-07

La raíz aproximada es: 8.1548452022613

