
f(x) = x * log(x/3) - x
xi = 1.5
xf = 20.2
errto = 1e-05
imax = 25


Numero de
Iteracion      Xi-2(xi)         Xi-1(x)          Xi(xf)                Raiz               Error      Tolerancia          f(Raiz)

   1              20.2               1.5               1.5  |           10.85                   100     1e-05         3.0982477858042
   2             10.85               1.5               1.5  |           6.175       75.708502024291     1e-05        -1.7172885330014
   3             10.85               1.5             6.175  |          8.5125       27.459618208517     1e-05        0.36538529614902
   4             6.175             6.175            8.5125  |         7.34375       15.914893617021     1e-05       -0.76935091159576
   5           7.34375            8.5125            8.5125  |        7.928125       7.3709105242412     1e-05        -0.2235392311763
   6            8.5125            8.5125          7.928125  |       8.2203125       3.5544573275043     1e-05       0.065729098478034
   7          7.928125          7.928125         8.2203125  |      8.07421875       1.8093855829705     1e-05      -0.080226838101653
   8        8.07421875         8.2203125         8.2203125  |     8.147265625      0.89658148343481     1e-05     -0.0075763365769124
   9         8.2203125         8.2203125       8.147265625  |    8.1837890625      0.44629006467626     1e-05       0.028994880443591
  10      8.1837890625       8.147265625       8.147265625  |   8.16552734375      0.22364408299945     1e-05       0.010688851289599
  11     8.16552734375       8.147265625       8.147265625  |  8.156396484375      0.11194722317009     1e-05      0.0015511464835125
  12       8.147265625       8.147265625    8.156396484375  | 8.1518310546875       0.0560049595836     1e-05     -0.0030138734802918
  13   8.1518310546875    8.156396484375    8.156396484375  | 8.1541137695312     0.027994640598234     1e-05    -0.00073168301730142
  14    8.156396484375    8.156396484375   8.1541137695312  | 8.1552551269531     0.013995361323566     1e-05     0.00040965186455999
  15   8.1541137695312   8.1541137695312   8.1552551269531  | 8.1546844482422    0.0069981703713976     1e-05    -0.00016103554490599
  16   8.1552551269531   8.1552551269531   8.1546844482422  | 8.1549697875977    0.0034989627540223     1e-05     0.00012430316786904
  17   8.1546844482422   8.1546844482422   8.1549697875977  | 8.1548271179199    0.0017495119844084     1e-05    -1.8367436528166e-05
  18   8.1549697875977   8.1549697875977   8.1548271179199  | 8.1548984527588   0.00087474834029068     1e-05     5.2967553669347e-05
  19   8.1548984527588   8.1548271179199   8.1548271179199  | 8.1548627853394   0.00043737608311536     1e-05      1.729998057165e-05
  20   8.1548271179199   8.1548271179199   8.1548627853394  | 8.1548449516296   0.00021868851981421     1e-05    -5.3374748176793e-07
  21   8.1548627853394   8.1548627853394   8.1548449516296  | 8.1548538684845   0.00010934414035646     1e-05     8.3831116679534e-06
  22   8.1548538684845   8.1548449516296   8.1548449516296  | 8.1548494100571   5.4672100068597e-05     1e-05     3.9246808736237e-06
  23   8.1548494100571   8.1548449516296   8.1548449516296  | 8.1548471808434   2.7336057506897e-05     1e-05     1.6954663948354e-06
  24   8.1548471808434   8.1548449516296   8.1548449516296  | 8.1548460662365    1.366803063249e-05     1e-05     5.8085937837404e-07
  25   8.1548460662365   8.1548449516296   8.1548449516296  | 8.1548455089331   6.8340157723913e-06     1e-05      2.355592876313e-08

La raíz aproximada es: 8.1548455089331

